Time        | File Name                                                              
2m37.32s    | Specific/solinas32_2e495m31_21limbs/feadd                              
2m36.43s    | Specific/solinas32_2e495m31_20limbs/freeze                             
2m35.08s    | Specific/solinas32_2e336m3_12limbs/femul                               
2m34.50s    | Specific/solinas32_2e521m1_20limbs/freeze                              
2m33.32s    | Specific/solinas32_2e480m2e240m1_20limbs/Synthesis                     
2m32.06s    | Specific/solinas32_2e321m9_12limbs/femul                               
2m30.27s    | Specific/solinas32_2e338m15_13limbs/fesquare                           
2m30.23s    | Specific/solinas32_2e285m9_12limbs/femul                               
2m28.87s    | Specific/solinas32_2e489m21_20limbs/fesub                              
2m27.05s    | Specific/solinas32_2e450m2e225m1_20limbs/Synthesis                     
2m26.41s    | Specific/montgomery64_2e224m2e96p1_4limbs/femul                        
2m25.40s    | Specific/solinas32_2e468m17_18limbs/Synthesis                          
2m24.96s    | Specific/solinas32_2e468m17_19limbs/freeze                             
2m24.32s    | Specific/solinas32_2e489m21_20limbs/freeze                             
2m24.08s    | Specific/solinas32_2e521m1_20limbs/fesub                               
2m23.52s    | Specific/montgomery64_2e194m33_4limbs/femul                            
2m23.13s    | Specific/montgomery64_2e212m29_4limbs/femul                            
2m23.07s    | Specific/montgomery64_2e198m17_4limbs/femul                            
2m23.05s    | Specific/solinas32_2e480m2e240m1_20limbs/freeze                        
2m23.03s    | Specific/montgomery64_2e251m9_4limbs/femul                             
2m23.00s    | Specific/montgomery64_2e255m19_4limbs/femul                            
2m22.61s    | Specific/montgomery64_2e256m88x2e240m1_4limbs/femul                    
2m22.53s    | Specific/solinas32_2e488m17_20limbs/freeze                             
2m22.46s    | Specific/montgomery64_2e213m3_4limbs/femul                             
2m22.40s    | Specific/montgomery64_2e206m5_4limbs/femul                             
2m22.37s    | Specific/solinas32_2e384m2e128m2e96p2e32m1_19limbs/freeze              
2m22.23s    | Specific/montgomery64_2e205m45x2e198m1_4limbs/femul                    
2m22.14s    | Specific/montgomery64_2e230m27_4limbs/femul                            
2m22.10s    | Specific/montgomery64_2e196m15_4limbs/femul                            
2m21.98s    | Specific/montgomery64_2e256m189_4limbs/femul                           
2m21.96s    | Specific/montgomery64_2e222m117_4limbs/femul                           
2m21.93s    | Specific/montgomery64_2e243m9_4limbs/femul                             
2m21.74s    | Specific/montgomery64_2e226m5_4limbs/femul                             
2m21.69s    | Specific/montgomery64_2e216m2e108m1_4limbs/femul                       
